dep_hash,dep_address,dep_amount,dep_time,triplets_count,linked_withdraws_count,truncated
0xfef9113f5a9b19a79d7b89fe33c6d29aea0f7e208d3d3ea1e067f6bea06009a6,0xa2c41535b6c77e9a0a8012637ec79b21a93a70a6,0.03697,2026-05-25 17:17:47.000000 UTC,2,4,0
0x7249bac2183d4c482885012152e21a759e9f283e957379b28a19b678ff0a5372,0x7cea076162dd284747fd04fb5fdfe3e69832d024,4.17,2026-05-25 15:57:11.000000 UTC,200,89,1
0xa1894fdaa8b53732a12d3aff68163d2229dbf7936ce2d6e23cfc973e2e76b457,0x772318aac576f599e7b989520b017a8124d4b4b9,0.62333,2026-05-25 07:26:23.000000 UTC,4,8,0
0x63ae47644c4693f9210a7a869bc12c273e84f8dc0bcc1a4413494aa71f707344,0x1ca8c4f3c77495da7e197c5b14154c19b8beee5f,1.887,2026-05-23 23:41:11.000000 UTC,177,143,0
0xb2b9c1b4be79c096857fecb7ea914a265fbe96fbf9481095fa14887772db71c2,0xdcf1a0b0c03b4df58e052133662a3b74cb9d47e1,3.01784,2026-05-23 09:34:11.000000 UTC,0,0,0
0x973db5df3df11532890e9f61547d70a1110b998d56b130c043d982b5eb0d2316,0x92a451882dab251d2ed6298b153065f8ad32433d,0.55235,2026-05-22 23:53:35.000000 UTC,8,10,0
0x3d453e0250d7fd47d7ca2a6e3aff3ac5ab8130912947e876c63f501b19e3cfbf,0x69aa4b1c616c9f2a08d57bc8809a199d07c978c0,0.181,2026-05-22 19:13:23.000000 UTC,200,120,1
0x9799942c63b72cd54b8a846da0f2a02dbe9761b0369d2e7589d4bc0738229a16,0x7e1314d619dd690d47584f60a9fa619a148b88a6,0.02728,2026-05-22 13:06:47.000000 UTC,2,6,0
0x95b435a6528b5d378ebbfe97832e7761423dcf802b19f0d8583a52b45441ffb7,0x75beff45c9093dc1f0692eabac022e2e60a8ddcc,0.06804,2026-05-21 14:55:11.000000 UTC,200,82,1
0xa059e41ad44e9516630c0c231d4891d2bae59e296074f5ad8203ed99848e2211,0x5701a8f44906e4b515f5cfc0e09ea0d910f4fbd4,0.03371,2026-05-20 02:58:11.000000 UTC,10,14,0
0xb1b0dcb35e7bc2a083db9206ee7be55c6e1bc6ae70e50e452e6b127a1937c812,0xafbc93ccb2b0edf4d6bbe4a604c31806f216839f,0.01962,2026-05-19 17:17:11.000000 UTC,60,29,0
0x44e23593d1b76bf75025f630f665adbde6c0c16a036c2d152e80b3fa8a15baf2,0x70380e4edd5834399681f953c4bb2fb6b6fb1391,1.39171,2026-05-19 15:26:23.000000 UTC,0,0,0
0x2350de8ee62182478bdb91f812e0cde94080cc095b3c75c3d5af54d9370c1574,0x82617c5ead9f3f1a89c4b4069bc3e8d442a7fb57,0.02273,2026-05-18 13:42:47.000000 UTC,200,67,1
0x80a2149e83a9a1f9a2cb563a2a92112b757b5bd03f5fbb81000e4e20ac1a61b5,0x4b92ff7faa400266241075e4ee2b146e3fbe6664,4.7623,2026-05-18 13:40:47.000000 UTC,1,3,0
0x9a9fe691a5b14e16ef58abb21e3c1d3259be6c5159ce2dc51acbb80ae7725f7c,0x84fc011c5d865eef0ca48a08da9d5ff0e33c82c4,1.251,2026-05-18 10:10:11.000000 UTC,200,81,1
0x6dad87ef6ff5d7c2f8b3d3728eabfa7e3380612a154d42082e61611f29a8f68e,0x82617c5ead9f3f1a89c4b4069bc3e8d442a7fb57,0.01701,2026-05-18 10:02:23.000000 UTC,54,28,0
0x350472b21cd5bdfa7f9f813008ccd8fc20a6bfb3c4780a66e0502340da8e7223,0x0b5efa9f66372d1f3873a20b6c5a168893f05fee,0.07145,2026-05-17 15:53:35.000000 UTC,62,59,0
0xd68aa46cc9d55f57c03301e583391d5b10ddc37d179f579a4fcf31e4a5cf6f72,0x810e2501778eb8bcd553753a57864f32cb328474,2.69089,2026-05-16 11:16:11.000000 UTC,0,0,0
0xe27e7892513dc71931b0b9b7936b95683bd3d099b77193f7212730e487e01d43,0x7ea423eaf67b2fa4d755340ab3951f709f0e4088,0.0375958181181676,2026-05-16 08:54:59.000000 UTC,0,0,0
0x4d2c78b91f254c6b8b2f62d6dfc8dc211bc50934fd25853bb9f6cd1bfe47bb0e,0x4a77bbf59a9ffa7ab370985667311e879425aecc,0.0162232695178795,2026-05-15 21:21:23.000000 UTC,0,0,0
0x58a5c6cf2f43169828651381ff75697052f40b075c5b54cd9d97a97e0786ddcb,0x38fe097a85d880ebb752fb07d895b11aa5715ac1,0.0109737819309613,2026-05-15 21:20:11.000000 UTC,0,0,0
0xf5ad7dc76d131293e32cc75b09750dc157ebdc19f0404e677188c7c13731a3d9,0xac376e51dde5eb61f457f2762101006718c86887,0.3043509089545346,2026-05-15 12:49:59.000000 UTC,0,0,0
0x70f8ae39b39477131eebb848988126ab1bda5a5542032bb5e04a2c6a62650a17,0xc88bfccf6f2eb6353590b4a0c2b72090b430986d,9.933,2026-05-15 07:19:23.000000 UTC,120,116,0
0xc9059908d2cac594ed8a6f6d32f688f8e159a8471b65d1ec6b610c26cef08628,0x2a2334216b7b76df267617e52604cc17a5bb7d73,0.0852232696658071,2026-05-14 21:40:47.000000 UTC,0,0,0
0x3ec11e014c4da0fa1db27f9abbfa8a9b820b96a4bceeb6f6c4a3240b6ce7bb4c,0x920c02568c6e63198c6abb8f8a6506597d8d0eb7,1.378,2026-05-14 17:26:59.000000 UTC,103,105,0
0x10d470100e5c139c2d3c291f0e43f37f904defc9bccb65302579d0e6592513b9,0xef878c3d52d5372df671c0e3126def8fe69f4bf1,0.025,2026-05-14 09:41:11.000000 UTC,200,88,1
0xdbf4f03a590256732a92dd6151ab6fafd464801f94d0713c502c7e66b7db8970,0x7c92619e6f313a329702b323cc6c729ea2dd18ab,0.058,2026-05-13 20:22:47.000000 UTC,200,99,1
0xf6bf640255b354b9c24d069b4e28f2f2fc82aacc7d614e5ce23af915223369ef,0x02d49697139f40bdf3950cdae931b150e0fc05f0,0.9962,2026-05-13 10:22:59.000000 UTC,9,16,0
0xd0d067766bbf553c5023de020ef496c126601bcb669a119df01994688d6a0cb5,0x69c9fc84415ca15822e533847b5d60518709085c,0.4020183269627467,2026-05-13 08:47:47.000000 UTC,0,0,0
0xee3787fbba4f91a32dc2450cb2fe9f47482766a47ff8f729650032d59e5544aa,0x920c02568c6e63198c6abb8f8a6506597d8d0eb7,0.9835,2026-05-13 07:09:59.000000 UTC,200,116,1
0xdf83059368b9fa6060291bf67ea6eefcc2876b8359b0a850bc0d53a31167942f,0x53bc793bb9afde6c9ccedcf33018f1611507b7b3,0.8963,2026-05-13 02:06:47.000000 UTC,12,20,0
0xdf3958f33144015add71ca8ce9c8488af07099085b1ade2185749dc82f4f7cf7,0xae4d03c653ca3cb60331e6c222ee3f37a5684458,8.15677,2026-05-11 21:33:47.000000 UTC,3,5,0
0xb23a19594e5e85ff23594b94ba5a1dbf0be58f95e27061d285e1f5e6dfc6ac87,0xed1e1c44f2ff7f411152e2f74717b60127c5e313,0.02701324619892,2026-05-11 11:58:59.000000 UTC,0,0,0
0x897a81bb9021f6aa689187e5623820083fb16b842e883d5724553185c575193f,0x61e1d48f6569e03fe203d15e92ec20bdca73a7f5,0.015,2026-05-10 12:52:11.000000 UTC,200,102,1
0x08b19ddc58c032b20a7e2d8bb49d4e8b81152c57be14d432ea0fcb3f0d51f203,0xdb7ec159ca69ae19647e8db5fd5809a6bac17d4b,0.088,2026-05-09 18:15:23.000000 UTC,200,98,1
0xe4d55f340b821040608c9eb9220daba32cd51a69383e8e2028fdf25854a7a9b2,0x86cba6f2749a58738e5f177a3c9ce594aa0874f5,0.3645630461101276,2026-05-09 07:07:23.000000 UTC,0,0,0
0x4e5cc67cfd7722da4bd1ac1b22d9edf1c5c22c1ccca9f1b8a55b9c66d8a39055,0x6e6031664a1d3d7f5d3ca8b8af5ea5844ba9ad60,0.32547,2026-05-08 05:37:47.000000 UTC,8,16,0
0xe06237ceb1aedd5667e0625de1970edad4c50992260ce0269a9e7bbe5a0aade7,0xf4f7f1bd0905efe61382de895ec3c1ed321b995b,0.4975,2026-05-07 15:58:47.000000 UTC,93,63,0
0x975f11a58612386290b4fc147cd3a36d66cf59a8d5021aeccd782c8130a2b15b,0x5a57183b748ba614d900f224fa55c5a96b7f7971,2.75,2026-05-06 21:17:59.000000 UTC,200,101,1
0x127e94a70df1bb1f0a6fedb40446d1edb4f3fd458605b7d5341a418213b9771e,0x3a3565a98de133190f7aacb06d6c684c61562b18,0.04166,2026-05-06 19:03:23.000000 UTC,9,16,0
0xa2faa3fc4f75a16afed7d1dbc09f0a25e3f0025107413279ee14cc958dd00ee8,0xc3ab4f4451d65299540242bb8ab3c2c65154b3f6,0.43,2026-05-05 17:36:35.000000 UTC,200,90,1
0x09e8511ee90722b02615973c5b0daa0016337ee541ad2e239228196c10226407,0xfead4a41bf3654b1531b705001cbe94d2078ee1d,0.013,2026-05-05 13:08:47.000000 UTC,200,98,1
0x67f2672124632f45db3ec1dc9dfde1075a65bc389e006dea3b842a2555a72047,0x9fb0873a5392d4fe376f18c67f5199676ea9a81a,2.22,2026-05-04 20:33:11.000000 UTC,200,90,1
0x50e3c6ecad9cd9f1480bda13cd6ab492040e171ae31867b87f9802286984d12e,0xa0df0e58e5a0d7c61d3ef0a140cce006cd1b12e6,0.03777,2026-05-04 19:29:35.000000 UTC,200,147,1
0xa04ed5ea298f13ceb673f0a745a919d5cff0f3e87ce525dde162fe4396016f88,0xa0df0e58e5a0d7c61d3ef0a140cce006cd1b12e6,3.473,2026-05-04 19:28:23.000000 UTC,199,174,0
0x3e60e6e403667e92bc20d70ee13957b3bd616ddbce547b36d081d52b70c05105,0x1bbebe590be080a6b32d853167679480e7a973d1,4.194696844602712,2026-05-04 07:20:11.000000 UTC,0,0,0
0x3114c52d6af7993c29001a527b3ff2a4f3a338d4d6957825fccd512e1e3ad109,0xc07d58cbb4b96deb79edb2c37c46127233697a94,0.0871,2026-05-04 03:06:59.000000 UTC,200,93,1
0x50e12dd5a71fb8262a9cda0b956ed3895a85363099a553b1af91798df6713f6c,0x4effd990230ae0826d27141ee1caf9a199f33559,0.398,2026-05-04 00:47:59.000000 UTC,200,142,1
0xc3e7e574fbf056716d8bfff53eb90b4b23783df98395104bf36b0d39a23fed4a,0xe476ef097ed0dfb6d96a31052eb219a4ce1cad1f,0.03175,2026-05-03 21:26:47.000000 UTC,136,142,0
0xe571e8394045a64f34be245ab3276f6b5f80441b21d07b289977f33a5380d891,0x860c12329c89c9131b2dc90b20769f5388b24b1d,0.0165,2026-05-03 17:51:23.000000 UTC,200,65,1
0x50066feb538dd35a1b1ea7d7c05170038d26fe642d68fd34cadc8166a1a16bd2,0x028c018a43758e410442208d0e646ce30bf8dee6,0.106,2026-05-03 08:49:23.000000 UTC,200,111,1
0xf2a3bb13876a34de7a91768881bcf8a3ba1884322b5b4b9b8781d9fff9462444,0x9da4cde5f6c4468cff8e0bbb7875ee20e856c9d1,0.456,2026-05-02 10:37:47.000000 UTC,200,113,1
0x37f8d30b81a1a0fc518b4f548be568fa5e5993f2680855db2ae2e00a53188773,0x2143098d9dc36e212d90e7b402f121d9fe83a3b3,0.0396093391216816,2026-05-02 08:23:35.000000 UTC,0,0,0
0xb822c70b829ee647717ec3ed3914326a1bc670242a1d039dc5ca092c26464ab0,0x61e1d48f6569e03fe203d15e92ec20bdca73a7f5,0.035,2026-05-01 15:13:23.000000 UTC,200,130,1
0x802c77ffc3a5f8e79533fa9445eeec69562e7ef736311999c0244c65aed26b32,0x1805a487036ac67e6a23b1f7cc44d60cce82a91c,0.010012039175532,2026-04-29 23:35:59.000000 UTC,0,0,0
